symbol,entry_time,exit_time,entry_price,exit_price,quantity,pattern,pnl,pnl_pct,exit_reason
AXISBANK-EQ,2025-12-13 14:34:00+05:30,2025-12-13 14:34:00+05:30,1291.1,1291.1,1,Rising Wedge,-2.5821999999998297,-0.19980019980018665,stop_loss
ASIANPAINT-EQ,2025-12-13 14:34:00+05:30,2025-12-13 14:34:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:34:00+05:30,2025-12-13 14:34:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:34:00+05:30,2025-12-13 14:34:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
TCS-EQ,2025-12-13 14:35:00+05:30,2025-12-13 14:35:00+05:30,3225.5,3225.5,1,Double Top,-6.451000000000022,-0.1998001998002005,stop_loss
AXISBANK-EQ,2025-12-13 14:35:00+05:30,2025-12-13 14:35:00+05:30,1291.1,1291.1,1,Rising Wedge,-2.5821999999998297,-0.19980019980018665,stop_loss
ASIANPAINT-EQ,2025-12-13 14:35:00+05:30,2025-12-13 14:35:00+05:30,2765.0,2765.0,1,Rising Wedge,-5.529999999999745,-0.1998001998001906,stop_loss
SUNPHARMA-EQ,2025-12-13 14:35:00+05:30,2025-12-13 14:35:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:35:00+05:30,2025-12-13 14:35:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
TCS-EQ,2025-12-13 14:36:00+05:30,2025-12-13 14:36:00+05:30,3225.5,3225.5,1,Double Top,-6.451000000000022,-0.1998001998002005,stop_loss
AXISBANK-EQ,2025-12-13 14:36:00+05:30,2025-12-13 14:36:00+05:30,1291.1,1291.1,1,Rising Wedge,-2.5821999999998297,-0.19980019980018665,stop_loss
SUNPHARMA-EQ,2025-12-13 14:36:00+05:30,2025-12-13 14:36:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
TATASTEEL-EQ,2025-12-13 14:36:00+05:30,2025-12-13 14:36:00+05:30,172.0,172.0,1,Double Top,-0.3439999999999941,-0.19980019980019637,stop_loss
AXISBANK-EQ,2025-12-13 14:37:00+05:30,2025-12-13 14:37:00+05:30,1291.1,1291.1,1,Rising Wedge,-2.5821999999998297,-0.19980019980018665,stop_loss
SUNPHARMA-EQ,2025-12-13 14:37:00+05:30,2025-12-13 14:37:00+05:30,1794.0,1794.0,1,Double Top,-3.588000000000193,-0.19980019980021052,stop_loss
